Time: 2021-06-29T21:12:13.356Z , Type: Pricing , BuyOrSell: sell , Price: 1006.0 , Quantity: 700.0
Time: 2021-06-29T21:12:13.357Z , Type: Pricing , BuyOrSell: sell , Price: 1007.0 , Quantity: 800.0
Time: 2021-06-29T21:12:13.358Z , Type: Pricing , BuyOrSell: sell , Price: 1008.0 , Quantity: 900.0
Time: 2021-06-29T21:12:13.359Z , Type: Pricing , BuyOrSell: sell , Price: 1009.0 , Quantity: 1000.0
Time: 2021-06-29T21:12:13.359Z , Type: Pricing , BuyOrSell: buy , Price: 1000.0 , Quantity: 100.0
Time: 2021-06-29T21:12:13.360Z , Type: Pricing , BuyOrSell: buy , Price: 999.0 , Quantity: 200.0
Time: 2021-06-29T21:12:13.360Z , Type: Pricing , BuyOrSell: buy , Price: 998.0 , Quantity: 300.0
Time: 2021-06-29T21:12:13.360Z , Type: Pricing , BuyOrSell: buy , Price: 997.0 , Quantity: 400.0
Time: 2021-06-29T21:12:13.361Z , Type: Pricing , BuyOrSell: buy , Price: 996.0 , Quantity: 500.0
Time: 2021-06-29T21:12:13.361Z , Type: Pricing , BuyOrSell: buy , Price: 995.0 , Quantity: 600.0
Time: 2021-06-29T21:12:13.362Z , Type: Pricing , BuyOrSell: buy , Price: 994.0 , Quantity: 700.0
Time: 2021-06-29T21:12:13.362Z , Type: Pricing , BuyOrSell: buy , Price: 993.0 , Quantity: 800.0
Time: 2021-06-29T21:12:13.362Z , Type: Pricing , BuyOrSell: buy , Price: 992.0 , Quantity: 900.0
Time: 2021-06-29T21:12:13.363Z , Type: Pricing , BuyOrSell: buy , Price: 991.0 , Quantity: 1000.0
Time: 2021-06-29T21:12:14.378Z , Type: MidPrice , Price: 1002.0
Time: 2021-06-29T21:12:14.378Z , Type: Pricing , BuyOrSell: sell , Price: 1002.0 , Quantity: 100.0
Time: 2021-06-29T21:12:14.379Z , Type: Pricing , BuyOrSell: sell , Price: 1003.0 , Quantity: 200.0
Time: 2021-06-29T21:12:14.379Z , Type: Pricing , BuyOrSell: sell , Price: 1004.0 , Quantity: 300.0
Time: 2021-06-29T21:12:14.380Z , Type: Pricing , BuyOrSell: sell , Price: 1005.0 , Quantity: 400.0
Time: 2021-06-29T21:12:14.380Z , Type: Pricing , BuyOrSell: sell , Price: 1006.0 , Quantity: 500.0
Time: 2021-06-29T21:12:14.380Z , Type: Pricing , BuyOrSell: sell , Price: 1007.0 , Quantity: 600.0
Time: 2021-06-29T21:12:14.381Z , Type: Pricing , BuyOrSell: sell , Price: 1008.0 , Quantity: 700.0
Time: 2021-06-29T21:12:14.381Z , Type: Pricing , BuyOrSell: sell , Price: 1009.0 , Quantity: 800.0
Time: 2021-06-29T21:12:14.382Z , Type: Pricing , BuyOrSell: sell , Price: 1010.0 , Quantity: 900.0
Time: 2021-06-29T21:12:14.382Z , Type: Pricing , BuyOrSell: sell , Price: 1011.0 , Quantity: 1000.0
Time: 2021-06-29T21:12:14.383Z , Type: Pricing , BuyOrSell: buy , Price: 1002.0 , Quantity: 100.0
Time: 2021-06-29T21:12:14.384Z , Type: Pricing , BuyOrSell: buy , Price: 1001.0 , Quantity: 200.0
Time: 2021-06-29T21:12:14.384Z , Type: Pricing , BuyOrSell: buy , Price: 1000.0 , Quantity: 300.0
Time: 2021-06-29T21:12:14.385Z , Type: Pricing , BuyOrSell: buy , Price: 999.0 , Quantity: 400.0
Time: 2021-06-29T21:12:14.385Z , Type: Pricing , BuyOrSell: buy , Price: 998.0 , Quantity: 500.0
Time: 2021-06-29T21:12:14.386Z , Type: Pricing , BuyOrSell: buy , Price: 997.0 , Quantity: 600.0
Time: 2021-06-29T21:12:14.386Z , Type: Pricing , BuyOrSell: buy , Price: 996.0 , Quantity: 700.0
Time: 2021-06-29T21:12:14.386Z , Type: Pricing , BuyOrSell: buy , Price: 995.0 , Quantity: 800.0
Time: 2021-06-29T21:12:14.387Z , Type: Pricing , BuyOrSell: buy , Price: 994.0 , Quantity: 900.0
Time: 2021-06-29T21:12:14.387Z , Type: Pricing , BuyOrSell: buy , Price: 993.0 , Quantity: 1000.0
Time: 2021-06-29T21:12:15.391Z , Type: MidPrice , Price: 1001.0
Time: 2021-06-29T21:12:15.392Z , Type: Pricing , BuyOrSell: sell , Price: 1001.0 , Quantity: 100.0
Time: 2021-06-29T21:12:15.393Z , Type: Pricing , BuyOrSell: sell , Price: 1002.0 , Quantity: 200.0
Time: 2021-06-29T21:12:15.393Z , Type: Pricing , BuyOrSell: sell , Price: 1003.0 , Quantity: 300.0
Time: 2021-06-29T21:12:15.394Z , Type: Pricing , BuyOrSell: sell , Price: 1004.0 , Quantity: 400.0
Time: 2021-06-29T21:12:15.394Z , Type: Pricing , BuyOrSell: sell , Price: 1005.0 , Quantity: 500.0
Time: 2021-06-29T21:12:15.395Z , Type: Pricing , BuyOrSell: sell , Price: 1006.0 , Quantity: 600.0
Time: 2021-06-29T21:12:15.395Z , Type: Pricing , BuyOrSell: sell , Price: 1007.0 , Quantity: 700.0
Time: 2021-06-29T21:12:15.395Z , Type: Pricing , BuyOrSell: sell , Price: 1008.0 , Quantity: 800.0
Time: 2021-06-29T21:12:15.396Z , Type: Pricing , BuyOrSell: sell , Price: 1009.0 , Quantity: 900.0
Time: 2021-06-29T21:12:15.396Z , Type: Pricing , BuyOrSell: sell , Price: 1010.0 , Quantity: 1000.0
Time: 2021-06-29T21:12:15.396Z , Type: Pricing , BuyOrSell: buy , Price: 1001.0 , Quantity: 100.0
Time: 2021-06-29T21:12:15.396Z , Type: Pricing , BuyOrSell: buy , Price: 1000.0 , Quantity: 200.0
Time: 2021-06-29T21:12:15.397Z , Type: Pricing , BuyOrSell: buy , Price: 999.0 , Quantity: 300.0
Time: 2021-06-29T21:12:15.397Z , Type: Pricing , BuyOrSell: buy , Price: 998.0 , Quantity: 400.0
Time: 2021-06-29T21:12:15.397Z , Type: Pricing , BuyOrSell: buy , Price: 997.0 , Quantity: 500.0
Time: 2021-06-29T21:12:15.398Z , Type: Pricing , BuyOrSell: buy , Price: 996.0 , Quantity: 600.0
Time: 2021-06-29T21:12:15.398Z , Type: Pricing , BuyOrSell: buy , Price: 995.0 , Quantity: 700.0
Time: 2021-06-29T21:12:15.398Z , Type: Pricing , BuyOrSell: buy , Price: 994.0 , Quantity: 800.0
Time: 2021-06-29T21:12:15.399Z , Type: Pricing , BuyOrSell: buy , Price: 993.0 , Quantity: 900.0
Time: 2021-06-29T21:12:15.399Z , Type: Pricing , BuyOrSell: buy , Price: 992.0 , Quantity: 1000.0
Time: 2021-06-29T21:12:16.400Z , Type: MidPrice , Price: 1003.0
Time: 2021-06-29T21:12:16.401Z , Type: Pricing , BuyOrSell: sell , Price: 1003.0 , Quantity: 100.0
Time: 2021-06-29T21:12:16.401Z , Type: Pricing , BuyOrSell: sell , Price: 1004.0 , Quantity: 200.0
Time: 2021-06-29T21:12:16.402Z , Type: Pricing , BuyOrSell: sell , Price: 1005.0 , Quantity: 300.0
Time: 2021-06-29T21:12:16.402Z , Type: Pricing , BuyOrSell: sell , Price: 1006.0 , Quantity: 400.0
Time: 2021-06-29T21:12:16.404Z , Type: Pricing , BuyOrSell: sell , Price: 1007.0 , Quantity: 500.0
Time: 2021-06-29T21:12:16.404Z , Type: Pricing , BuyOrSell: sell , Price: 1008.0 , Quantity: 600.0
Time: 2021-06-29T21:12:16.405Z , Type: Pricing , BuyOrSell: sell , Price: 1009.0 , Quantity: 700.0
Time: 2021-06-29T21:12:16.405Z , Type: Pricing , BuyOrSell: sell , Price: 1010.0 , Quantity: 800.0
Time: 2021-06-29T21:12:16.405Z , Type: Pricing , BuyOrSell: sell , Price: 1011.0 , Quantity: 900.0
Time: 2021-06-29T21:12:16.406Z , Type: Pricing , BuyOrSell: sell , Price: 1012.0 , Quantity: 1000.0
Time: 2021-06-29T21:12:16.407Z , Type: Pricing , BuyOrSell: buy , Price: 1003.0 , Quantity: 100.0
Time: 2021-06-29T21:12:16.407Z , Type: Pricing , BuyOrSell: buy , Price: 1002.0 , Quantity: 200.0
Time: 2021-06-29T21:12:16.408Z , Type: Pricing , BuyOrSell: buy , Price: 1001.0 , Quantity: 300.0
Time: 2021-06-29T21:12:16.409Z , Type: Pricing , BuyOrSell: buy , Price: 1000.0 , Quantity: 400.0
Time: 2021-06-29T21:12:16.410Z , Type: Pricing , BuyOrSell: buy , Price: 999.0 , Quantity: 500.0
Time: 2021-06-29T21:12:16.411Z , Type: Pricing , BuyOrSell: buy , Price: 998.0 , Quantity: 600.0
Time: 2021-06-29T21:12:16.412Z , Type: Pricing , BuyOrSell: buy , Price: 997.0 , Quantity: 700.0
Time: 2021-06-29T21:12:16.413Z , Type: Pricing , BuyOrSell: buy , Price: 996.0 , Quantity: 800.0
Time: 2021-06-29T21:12:16.414Z , Type: Pricing , BuyOrSell: buy , Price: 995.0 , Quantity: 900.0
Time: 2021-06-29T21:12:16.415Z , Type: Pricing , BuyOrSell: buy , Price: 994.0 , Quantity: 1000.0
Time: 2021-06-29T21:12:17.228Z , Type: RFQ , BuyOrSell: BUY , Quantity: 895.0 , Price Response: 995.0
Time: 2021-06-29T21:12:17.426Z , Type: MidPrice , Price: 1005.0
Time: 2021-06-29T21:12:17.426Z , Type: Pricing , BuyOrSell: sell , Price: 1005.0 , Quantity: 100.0
Time: 2021-06-29T21:12:17.427Z , Type: Pricing , BuyOrSell: sell , Price: 1006.0 , Quantity: 200.0
Time: 2021-06-29T21:12:17.427Z , Type: Pricing , BuyOrSell: sell , Price: 1007.0 , Quantity: 300.0
Time: 2021-06-29T21:12:17.428Z , Type: Pricing , BuyOrSell: sell , Price: 1008.0 , Quantity: 400.0
Time: 2021-06-29T21:12:17.428Z , Type: Pricing , BuyOrSell: sell , Price: 1009.0 , Quantity: 500.0
Time: 2021-06-29T21:12:17.429Z , Type: Pricing , BuyOrSell: sell , Price: 1010.0 , Quantity: 600.0
Time: 2021-06-29T21:12:17.429Z , Type: Pricing , BuyOrSell: sell , Price: 1011.0 , Quantity: 700.0
Time: 2021-06-29T21:12:17.429Z , Type: Pricing , BuyOrSell: sell , Price: 1012.0 , Quantity: 800.0
Time: 2021-06-29T21:12:17.430Z , Type: Pricing , BuyOrSell: sell , Price: 1013.0 , Quantity: 900.0
Time: 2021-06-29T21:12:17.430Z , Type: Pricing , BuyOrSell: sell , Price: 1014.0 , Quantity: 1000.0
Time: 2021-06-29T21:12:17.430Z , Type: Pricing , BuyOrSell: buy , Price: 1005.0 , Quantity: 100.0
Time: 2021-06-29T21:12:17.431Z , Type: Pricing , BuyOrSell: buy , Price: 1004.0 , Quantity: 200.0
Time: 2021-06-29T21:12:17.431Z , Type: Pricing , BuyOrSell: buy , Price: 1003.0 , Quantity: 300.0
Time: 2021-06-29T21:12:17.432Z , Type: Pricing , BuyOrSell: buy , Price: 1002.0 , Quantity: 400.0
Time: 2021-06-29T21:12:17.432Z , Type: Pricing , BuyOrSell: buy , Price: 1001.0 , Quantity: 500.0
Time: 2021-06-29T21:12:17.432Z , Type: Pricing , BuyOrSell: buy , Price: 1000.0 , Quantity: 600.0
Time: 2021-06-29T21:12:17.433Z , Type: Pricing , BuyOrSell: buy , Price: 999.0 , Quantity: 700.0
Time: 2021-06-29T21:12:17.433Z , Type: Pricing , BuyOrSell: buy , Price: 998.0 , Quantity: 800.0
Time: 2021-06-29T21:12:17.434Z , Type: Pricing , BuyOrSell: buy , Price: 997.0 , Quantity: 900.0
Time: 2021-06-29T21:12:17.434Z , Type: Pricing , BuyOrSell: buy , Price: 996.0 , Quantity: 1000.0
Time: 2021-06-29T21:12:18.443Z , Type: MidPrice , Price: 1005.0
Time: 2021-06-29T21:12:18.443Z , Type: Pricing , BuyOrSell: sell , Price: 1005.0 , Quantity: 100.0
Time: 2021-06-29T21:12:18.443Z , Type: Pricing , BuyOrSell: sell , Price: 1006.0 , Quantity: 200.0
Time: 2021-06-29T21:12:18.444Z , Type: Pricing , BuyOrSell: sell , Price: 1007.0 , Quantity: 300.0
Time: 2021-06-29T21:12:18.444Z , Type: Pricing , BuyOrSell: sell , Price: 1008.0 , Quantity: 400.0
Time: 2021-06-29T21:12:18.445Z , Type: Pricing , BuyOrSell: sell , Price: 1009.0 , Quantity: 500.0
Time: 2021-06-29T21:12:18.446Z , Type: Pricing , BuyOrSell: sell , Price: 1010.0 , Quantity: 600.0
Time: 2021-06-29T21:12:18.446Z , Type: Pricing , BuyOrSell: sell , Price: 1011.0 , Quantity: 700.0
Time: 2021-06-29T21:12:18.450Z , Type: Pricing , BuyOrSell: sell , Price: 1012.0 , Quantity: 800.0
Time: 2021-06-29T21:12:18.451Z , Type: Pricing , BuyOrSell: sell , Price: 1013.0 , Quantity: 900.0
Time: 2021-06-29T21:12:18.451Z , Type: Pricing , BuyOrSell: sell , Price: 1014.0 , Quantity: 1000.0
Time: 2021-06-29T21:12:18.451Z , Type: Pricing , BuyOrSell: buy , Price: 1005.0 , Quantity: 100.0
Time: 2021-06-29T21:12:18.452Z , Type: Pricing , BuyOrSell: buy , Price: 1004.0 , Quantity: 200.0
Time: 2021-06-29T21:12:18.452Z , Type: Pricing , BuyOrSell: buy , Price: 1003.0 , Quantity: 300.0
Time: 2021-06-29T21:12:18.452Z , Type: Pricing , BuyOrSell: buy , Price: 1002.0 , Quantity: 400.0
Time: 2021-06-29T21:12:18.453Z , Type: Pricing , BuyOrSell: buy , Price: 1001.0 , Quantity: 500.0
Time: 2021-06-29T21:12:18.453Z , Type: Pricing , BuyOrSell: buy , Price: 1000.0 , Quantity: 600.0
Time: 2021-06-29T21:12:18.453Z , Type: Pricing , BuyOrSell: buy , Price: 999.0 , Quantity: 700.0
Time: 2021-06-29T21:12:18.454Z , Type: Pricing , BuyOrSell: buy , Price: 998.0 , Quantity: 800.0
Time: 2021-06-29T21:12:18.454Z , Type: Pricing , BuyOrSell: buy , Price: 997.0 , Quantity: 900.0
Time: 2021-06-29T21:12:18.454Z , Type: Pricing , BuyOrSell: buy , Price: 996.0 , Quantity: 1000.0
Time: 2021-06-29T21:12:19.465Z , Type: MidPrice , Price: 1003.0
Time: 2021-06-29T21:12:19.465Z , Type: Pricing , BuyOrSell: sell , Price: 1003.0 , Quantity: 100.0
Time: 2021-06-29T21:12:19.466Z , Type: Pricing , BuyOrSell: sell , Price: 1004.0 , Quantity: 200.0
Time: 2021-06-29T21:12:19.466Z , Type: Pricing , BuyOrSell: sell , Price: 1005.0 , Quantity: 300.0
